origin,destination,estimate
Alabama,Indiana,2206.0
Alaska,Indiana,818.0
Arizona,Indiana,2123.0
Arkansas,Indiana,754.0
California,Indiana,7740.0
Colorado,Indiana,3164.0
Connecticut,Indiana,427.0
Delaware,Indiana,121.0
District of Columbia,Indiana,0.0
Florida,Indiana,14798.0
Georgia,Indiana,1606.0
Hawaii,Indiana,81.0
Idaho,Indiana,0.0
Illinois,Indiana,29426.0
Iowa,Indiana,854.0
Kansas,Indiana,701.0
Kentucky,Indiana,12257.0
Louisiana,Indiana,784.0
Maine,Indiana,24.0
Maryland,Indiana,668.0
Massachusetts,Indiana,1033.0
Michigan,Indiana,8137.0
Minnesota,Indiana,1579.0
Mississippi,Indiana,529.0
Missouri,Indiana,2691.0
Montana,Indiana,83.0
Nebraska,Indiana,7.0
Nevada,Indiana,1022.0
New Hampshire,Indiana,340.0
New Jersey,Indiana,2661.0
New Mexico,Indiana,974.0
New York,Indiana,8782.0
North Carolina,Indiana,2634.0
North Dakota,Indiana,353.0
Ohio,Indiana,12493.0
Oklahoma,Indiana,644.0
Oregon,Indiana,492.0
Pennsylvania,Indiana,3117.0
Rhode Island,Indiana,47.0
South Carolina,Indiana,1221.0
South Dakota,Indiana,338.0
Tennessee,Indiana,3310.0
Texas,Indiana,9485.0
Utah,Indiana,1804.0
Vermont,Indiana,86.0
Virginia,Indiana,4401.0
Washington,Indiana,1635.0
West Virginia,Indiana,461.0
Wisconsin,Indiana,1738.0
Wyoming,Indiana,0.0
Puerto Rico,Indiana,54.0
U.S. Island Area3,Indiana,156.0
Foreign Country,Indiana,29905.0
Alabama,Iowa,130.0
Alaska,Iowa,209.0
Arizona,Iowa,3078.0
Arkansas,Iowa,114.0
California,Iowa,4406.0
Colorado,Iowa,3642.0
Connecticut,Iowa,33.0
Delaware,Iowa,168.0
District of Columbia,Iowa,186.0
Florida,Iowa,4186.0
Georgia,Iowa,965.0
Hawaii,Iowa,52.0
Idaho,Iowa,703.0
Illinois,Iowa,11780.0
Indiana,Iowa,678.0
Kansas,Iowa,2302.0
Kentucky,Iowa,448.0
Louisiana,Iowa,1605.0
Maine,Iowa,154.0
Maryland,Iowa,595.0
Massachusetts,Iowa,465.0
Michigan,Iowa,1496.0
Minnesota,Iowa,4755.0
Mississippi,Iowa,563.0
Missouri,Iowa,3238.0
Montana,Iowa,421.0
Nebraska,Iowa,7341.0
Nevada,Iowa,906.0
New Hampshire,Iowa,0.0
New Jersey,Iowa,169.0
New Mexico,Iowa,20.0
New York,Iowa,845.0
North Carolina,Iowa,1812.0
North Dakota,Iowa,99.0
Ohio,Iowa,409.0
Oklahoma,Iowa,630.0
Oregon,Iowa,460.0
Pennsylvania,Iowa,669.0
Rhode Island,Iowa,0.0
